ID_1,CountyName,PopulationCensus16,IGEasting,IGNorthing,Lat,Long,UniqueGeographicIdentifier,ConfirmedCovidCases,PopulationProportionCovidCases,ConfirmedCovidDeaths,ConfirmedCovidRecovered,x,y,FID,TimeStampDate
1322,Carlow,56932,278661,163444,52.7168,-6.8367,http://data.geohive.ie/resource/county/2ae19629-143d-13a3-e055-000000000001,24324,42724.65397,,,-6.8367,52.7168,329223,2023/07/17 00:00:00+00
1323,Cavan,76176,246380,304501,53.9878,-7.2937,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,27169,35666.08906,,,-7.2937,53.9878,329224,2023/07/17 00:00:00+00
1324,Clare,118817,133493,182732,52.8917,-8.9889,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,40329,33942.11266,,,-8.9889,52.8917,329225,2023/07/17 00:00:00+00
1325,Cork,542868,156242,77860,51.9517,-8.6372,http://data.geohive.ie/resource/county/2ae19629-1451-13a3-e055-000000000001,174913,32220.17139,,,-8.6372,51.9517,329226,2023/07/17 00:00:00+00
1326,Donegal,159192,202615,405691,54.8989,-7.96,http://data.geohive.ie/resource/county/2ae19629-1452-13a3-e055-000000000001,61810,38827.32801,,,-7.96,54.8989,329227,2023/07/17 00:00:00+00
1327,Dublin,1347359,313762,235813,53.3605,-6.292,http://data.geohive.ie/resource/county/2ae19629-144f-13a3-e055-000000000001,509980,37850.34278,,,-6.292,53.3605,329228,2023/07/17 00:00:00+00
1328,Galway,258058,151045,235818,53.3705,-8.7362,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,92608,35886.50613,,,-8.7362,53.3705,329229,2023/07/17 00:00:00+00
1329,Kerry,147707,92975,102996,52.1689,-9.565,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,46499,31480.56626,,,-9.565,52.1689,329230,2023/07/17 00:00:00+00
1330,Kildare,222504,281262,221513,53.238,-6.7837,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,85283,38328.74915,,,-6.7837,53.238,329231,2023/07/17 00:00:00+00
1331,Kilkenny,99232,253094,148060,52.5816,-7.2175,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,33121,33377.33796,,,-7.2175,52.5816,329232,2023/07/17 00:00:00+00
1332,Laois,84697,244211,193996,52.9952,-7.3423,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,30421,35917.4469,,,-7.3423,52.9952,329233,2023/07/17 00:00:00+00
1333,Leitrim,32044,200446,319670,54.1261,-7.9939,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,10656,33254.27537,,,-7.9939,54.1261,329234,2023/07/17 00:00:00+00
