Id,year,loc,ave_incidence_per_100000
1,1928,ALABAMA,6.4421154
2,1928,ARIZONA,4.7797619
3,1928,ARKANSAS,9.8320408
4,1928,CALIFORNIA,1.3311538
5,1928,COLORADO,4.3120833
6,1928,CONNECTICUT,12.2105769
7,1928,DELAWARE,6.2443902
8,1928,DISTRICT OF COLUMBIA,15.3037143
9,1928,FLORIDA,2.7809302
10,1928,GEORGIA,3.3985106
11,1928,IDAHO,0.7534615
12,1928,ILLINOIS,1.8892308
13,1928,INDIANA,5.0705769
14,1928,IOWA,1.1452
15,1928,KANSAS,2.6330769
16,1928,KENTUCKY,6.3605882
17,1928,LOUISIANA,5.1045098
18,1928,MAINE,7.8815686
19,1928,MARYLAND,20.9498077
20,1928,MASSACHUSETTS,19.2364706
21,1928,MICHIGAN,10.5298077
22,1928,MINNESOTA,1.5217308
23,1928,MISSISSIPPI,0
24,1928,MISSOURI,3.8947059
25,1928,MONTANA,2.91375
26,1928,NEBRASKA,1.6447917
27,1928,NEW HAMPSHIRE,6.0477778
28,1928,NEW JERSEY,15.3296154
29,1928,NEW MEXICO,15.0775
30,1928,NEW YORK,12.7445098
31,1928,NORTH CAROLINA,37.9935417
32,1928,NORTH DAKOTA,1.2665909
33,1928,OHIO,7.2636735
34,1928,OKLAHOMA,5.3742
35,1928,OREGON,4.2901923
36,1928,PENNSYLVANIA,11.2298077
37,1928,RHODE ISLAND,14.7064
38,1928,SOUTH CAROLINA,26.4765116
39,1928,SOUTH DAKOTA,3.5591111
40,1928,TENNESSEE,7.3355814
41,1928,TEXAS,1.9867347
42,1928,UTAH,0.4428947
43,1928,VERMONT,6.975
44,1928,WASHINGTON,6.6311538
45,1928,WEST VIRGINIA,3.7688462
46,1928,WISCONSIN,2.3963462
47,1928,WYOMING,6.4857143
48,1929,ALABAMA,2.2842857
49,1929,ARIZONA,1.568
50,1929,ARKANSAS,1.4613043
51,1929,CALIFORNIA,1.4
52,1929,COLORADO,1.4556863
53,1929,CONNECTICUT,12.0552941
54,1929,DELAWARE,6.3110526
55,1929,DISTRICT OF COLUMBIA,2.1906977
56,1929,FLORIDA,1.5920408
57,1929,GEORGIA,0.8464583
58,1929,IDAHO,3.2074
59,1929,ILLINOIS,9.7342308
60,1929,INDIANA,6.1942308
61,1929,IOWA,1.8433333
62,1929,KANSAS,10.6815385
63,1929,KENTUCKY,1.7268
64,1929,LOUISIANA,1.9302174
65,1929,MAINE,13.8301923
66,1929,MARYLAND,2.4238462
67,1929,MASSACHUSETTS,6.7580769
68,1929,MICHIGAN,7.2396154
69,1929,MINNESOTA,9.6541176
70,1929,MISSOURI,3.5972549
71,1929,MONTANA,16.0345098
72,1929,NEBRASKA,5.9417647
73,1929,NEW HAMPSHIRE,7.1777083
74,1929,NEW JERSEY,3.4973077
75,1929,NEW MEXICO,1.4805405
76,1929,NEW YORK,4.7901923
77,1929,NORTH CAROLINA,0.8189362
78,1929,NORTH DAKOTA,6.5228846
79,1929,OHIO,10.7911538
80,1929,OKLAHOMA,0.9056863
81,1929,OREGON,9.6533333
82,1929,PENNSYLVANIA,9.7912
83,1929,RHODE ISLAND,6.6004878
84,1929,SOUTH CAROLINA,0.488
85,1929,SOUTH DAKOTA,3.5695745
86,1929,TENNESSEE,0.6478431
87,1929,TEXAS,1.3707692
88,1929,UTAH,1.5659091
89,1929,VERMONT,2.5685366
90,1929,WASHINGTON,4.7807692
91,1929,WEST VIRGINIA,7.4537255
92,1929,WISCONSIN,19.5488462
93,1929,WYOMING,7.2595349
94,1930,ALABAMA,3.0192308
95,1930,ARIZONA,9.9214894
96,1930,ARKANSAS,1.3702564
97,1930,CALIFORNIA,14.62
98,1930,COLORADO,21.7838462
99,1930,CONNECTICUT,2.2005882
100,1930,DELAWARE,2.73125
101,1930,DISTRICT OF COLUMBIA,3.5019231
102,1930,FLORIDA,6.9919608
103,1930,GEORGIA,3.0041176
104,1930,IDAHO,4.0970833
105,1930,ILLINOIS,4.1551923
106,1930,INDIANA,2.3217308
107,1930,IOWA,8.9906818
108,1930,KANSAS,12.8213462
109,1930,KENTUCKY,2.4189655
110,1930,LOUISIANA,1.7977083
111,1930,MAINE,4.1433333
112,1930,MARYLAND,1.4778
113,1930,MASSACHUSETTS,12.1209615
114,1930,MICHIGAN,11.2234615
115,1930,MINNESOTA,4.2939216
116,1930,MISSOURI,2.8809615
117,1930,MONTANA,2.5547826
118,1930,NEBRASKA,14.9064
119,1930,NEW HAMPSHIRE,3.5105556
120,1930,NEW JERSEY,11.5936538
121,1930,NEW MEXICO,10.8006122
122,1930,NEW YORK,6.0651923
123,1930,NORTH CAROLINA,0.7917308
124,1930,NORTH DAKOTA,2.7857143
125,1930,OHIO,5.3384615
126,1930,OKLAHOMA,3.2339216
127,1930,OREGON,5.3146154
128,1930,PENNSYLVANIA,6.8569231
129,1930,RHODE ISLAND,0.98075
130,1930,SOUTH CAROLINA,2.0642857
131,1930,SOUTH DAKOTA,7.8706818
132,1930,TENNESSEE,3.5276471
133,1930,TEXAS,1.4337255
134,1930,UTAH,22.2295745
135,1930,VERMONT,5.6354762
136,1930,WASHINGTON,12.1469231
137,1930,WEST VIRGINIA,3.0326923
138,1930,WISCONSIN,14.3957692
139,1930,WYOMING,9.7585714
140,1931,ALABAMA,6.8834694
141,1931,ARIZONA,11.8497619
142,1931,ARKANSAS,0.9369388
143,1931,CALIFORNIA,9.1823077
144,1931,COLORADO,9.2504082
145,1931,CONNECTICUT,15.2011538
146,1931,DELAWARE,24.4702439
147,1931,DISTRICT OF COLUMBIA,18.5108889
148,1931,FLORIDA,5.6693478
149,1931,GEORGIA,2.2210638
150,1931,IDAHO,0.7869697
151,1931,ILLINOIS,9.9417308
152,1931,INDIANA,10.4078846
153,1931,IOWA,0.685
154,1931,KANSAS,1.7975
155,1931,KENTUCKY,5.0288889
156,1931,LOUISIANA,0.2667442
157,1931,MAINE,8.3528846
158,1931,MARYLAND,24.8009804
159,1931,MASSACHUSETTS,7.4380769
160,1931,MICHIGAN,2.5669231
161,1931,MINNESOTA,2.3755769
162,1931,MISSOURI,7.5463265
163,1931,MONTANA,5.4778846
164,1931,NEBRASKA,0.5189583
165,1931,NEW HAMPSHIRE,6.6477778
166,1931,NEW JERSEY,9.5036538
167,1931,NEW MEXICO,7.9163415
168,1931,NEW YORK,8.1388462
169,1931,NORTH CAROLINA,9.4211765
170,1931,NORTH DAKOTA,3.5515
171,1931,OHIO,5.6023077
172,1931,OKLAHOMA,0.7481395
173,1931,OREGON,4.6646154
174,1931,PENNSYLVANIA,15.8
175,1931,RHODE ISLAND,13.8552083
176,1931,SOUTH CAROLINA,3.799
177,1931,SOUTH DAKOTA,4.2472
178,1931,TENNESSEE,2.6429412
179,1931,TEXAS,0.8990909
180,1931,UTAH,0.743
181,1931,VERMONT,7.0755556
182,1931,WASHINGTON,3.8711765
183,1931,WEST VIRGINIA,5.6034615
184,1931,WISCONSIN,9.7417308
185,1931,WYOMING,1.4802439
186,1932,ALABAMA,0.2490244
187,1932,ARIZONA,0.5914706
188,1932,ARKANSAS,0.1402632
189,1932,CALIFORNIA,4.1169231
190,1932,COLORADO,4.5489796
191,1932,CONNECTICUT,6.6975
192,1932,DELAWARE,0.6146154
193,1932,DISTRICT OF COLUMBIA,1.2652381
194,1932,FLORIDA,0.3028889
195,1932,GEORGIA,0.7635556
196,1932,IDAHO,0.3981818
197,1932,ILLINOIS,4.0059615
198,1932,INDIANA,1.7073077
199,1932,IOWA,0.1373913
200,1932,KANSAS,6.2815385
201,1932,KENTUCKY,2.0854286
202,1932,LOUISIANA,1.405
203,1932,MAINE,24.6881818
204,1932,MARYLAND,1.2778431
205,1932,MASSACHUSETTS,8.9075
206,1932,MICHIGAN,16.9440385
207,1932,MINNESOTA,1.8290385
208,1932,MISSOURI,0.9182979
209,1932,MONTANA,19.3840385
210,1932,NEBRASKA,0.6585417
211,1932,NEW HAMPSHIRE,3.9805263
212,1932,NEW JERSEY,7.1915385
213,1932,NEW MEXICO,6.9717949
214,1932,NEW YORK,8.9434615
215,1932,NORTH CAROLINA,8.1353846
216,1932,NORTH DAKOTA,6.4912245
217,1932,OHIO,10.3719231
218,1932,OKLAHOMA,0.9185106
219,1932,OREGON,9.8884615
220,1932,PENNSYLVANIA,9.0517308
221,1932,RHODE ISLAND,35.0640476
222,1932,SOUTH CAROLINA,3.5111538
223,1932,SOUTH DAKOTA,2.4710256
224,1932,TENNESSEE,1.4678723
225,1932,TEXAS,1.5954167
226,1932,UTAH,0.3863889
227,1932,VERMONT,24.9147826
228,1932,VIRGINIA,1.9777778
229,1932,WASHINGTON,12.6386
230,1932,WEST VIRGINIA,11.5317308
231,1932,WISCONSIN,17.9867308
232,1932,WYOMING,5.38
233,1933,ALABAMA,1.2788235
234,1933,ARIZONA,6.8839535
235,1933,ARKANSAS,5.6407692
236,1933,CALIFORNIA,8.5630769
237,1933,COLORADO,0.565102
238,1933,CONNECTICUT,6.3588462
239,1933,DELAWARE,2.2345946
240,1933,DISTRICT OF COLUMBIA,1.9384615
241,1933,FLORIDA,1.4867442
242,1933,GEORGIA,3.1376
243,1933,IDAHO,4.83975
244,1933,ILLINOIS,2.9932692
245,1933,INDIANA,2.1180392
246,1933,IOWA,0.8686842
247,1933,KANSAS,6.4438462
248,1933,KENTUCKY,1.7017647
249,1933,LOUISIANA,0.91
250,1933,MAINE,0.3265854
251,1933,MARYLAND,0.7919231
252,1933,MASSACHUSETTS,6.7665385
253,1933,MICHIGAN,8.8873077
254,1933,MINNESOTA,14.4678846
255,1933,MISSOURI,2.9992157
256,1933,MONTANA,8.9270213
257,1933,NEBRASKA,2.4968085
258,1933,NEW HAMPSHIRE,6.0688889
259,1933,NEW JERSEY,13.9796154
260,1933,NEW MEXICO,2.976
261,1933,NEW YORK,10.5576923
262,1933,NORTH CAROLINA,9.5305769
263,1933,NORTH DAKOTA,7.3262745
264,1933,OHIO,4.4936538
265,1933,OKLAHOMA,2.2145652
266,1933,OREGON,4.4301923
267,1933,PENNSYLVANIA,6.4688462
268,1933,RHODE ISLAND,0.3466667
269,1933,SOUTH CAROLINA,6.9353846
270,1933,SOUTH DAKOTA,6.6462222
271,1933,TENNESSEE,2.5669231
272,1933,TEXAS,6.95
273,1933,UTAH,7.8843137
274,1933,VERMONT,7.2693023
275,1933,VIRGINIA,6.7669231
276,1933,WASHINGTON,3.0556863
277,1933,WEST VIRGINIA,5.9478431
278,1933,WISCONSIN,6.1053846
279,1933,WYOMING,4.9812
280,1934,ALABAMA,11.3513462
281,1934,ARIZONA,4.7762
282,1934,ARKANSAS,10.9877143
283,1934,CALIFORNIA,8.1396154
284,1934,COLORADO,23.1586538
285,1934,CONNECTICUT,5.4298077
286,1934,DELAWARE,29.1714286
287,1934,DISTRICT OF COLUMBIA,24.7280435
288,1934,FLORIDA,9.7240385
289,1934,GEORGIA,28.6955556
290,1934,IDAHO,6.0102381
291,1934,ILLINOIS,11.0546154
292,1934,INDIANA,12.3731373
293,1934,IOWA,6.6613462
294,1934,KANSAS,10.3623077
295,1934,KENTUCKY,8.1259615
296,1934,LOUISIANA,4.2492308
297,1934,MAINE,1.66
298,1934,MARYLAND,30.3059615
299,1934,MASSACHUSETTS,19.9901923
300,1934,MICHIGAN,2.5476923
301,1934,MINNESOTA,6.0307692
302,1934,MISSOURI,10.3746154
303,1934,MONTANA,6.9788235
304,1934,NEBRASKA,6.6206
305,1934,NEW HAMPSHIRE,18.4065217
306,1934,NEW JERSEY,7.0572549
307,1934,NEW MEXICO,14.638
308,1934,NEW YORK,4.9640385
309,1934,NORTH CAROLINA,32.4103846
310,1934,NORTH DAKOTA,12.6467308
311,1934,OHIO,8.0490196
312,1934,OKLAHOMA,8.2191304
313,1934,OREGON,3.7211538
314,1934,PENNSYLVANIA,16.3098077
315,1934,RHODE ISLAND,1.462
316,1934,SOUTH CAROLINA,12.2617308
317,1934,SOUTH DAKOTA,26.94
318,1934,TENNESSEE,12.4586538
319,1934,TEXAS,9.4357692
320,1934,UTAH,42.8405882
321,1934,VERMONT,8.6513636
322,1934,VIRGINIA,22.2838462
323,1934,WASHINGTON,9.2909804
324,1934,WEST VIRGINIA,4.4576923
325,1934,WISCONSIN,25.6315385
326,1934,WYOMING,20.5838298
327,1935,ALABAMA,5.415102
328,1935,ARIZONA,3.2147619
329,1935,ARKANSAS,1.912619
330,1935,CALIFORNIA,8.9688462
331,1935,COLORADO,22.8090385
332,1935,CONNECTICUT,27.8748077
333,1935,DELAWARE,8.5979167
334,1935,DISTRICT OF COLUMBIA,3.725122
335,1935,FLORIDA,1.5482979
336,1935,GEORGIA,0.2625
337,1935,IDAHO,4.1438636
338,1935,ILLINOIS,14.3617308
339,1935,INDIANA,5.9824
340,1935,IOWA,16.9735294
341,1935,KANSAS,27.4315686
342,1935,KENTUCKY,10.2648077
343,1935,LOUISIANA,2.2542308
344,1935,MAINE,17.1552
345,1935,MARYLAND,2.5609615
346,1935,MASSACHUSETTS,5.5140385
347,1935,MICHIGAN,30.7861538
348,1935,MINNESOTA,20.4230769
349,1935,MISSOURI,6.6382692
350,1935,MONTANA,27.8935294
351,1935,NEBRASKA,12.5431373
352,1935,NEW HAMPSHIRE,1.8376667
353,1935,NEW JERSEY,15.2482692
354,1935,NEW MEXICO,3.4411628
355,1935,NEW YORK,9.9313462
356,1935,NORTH CAROLINA,6.6095918
357,1935,NORTH DAKOTA,5.695098
358,1935,OHIO,10.4767308
359,1935,OKLAHOMA,2.3932558
360,1935,OREGON,13.5659615
361,1935,PENNSYLVANIA,17.6415385
362,1935,RHODE ISLAND,19.4911765
363,1935,SOUTH CAROLINA,1.028
364,1935,SOUTH DAKOTA,3.8895349
365,1935,TENNESSEE,1.1154348
366,1935,TEXAS,1.2814
367,1935,UTAH,1.1665116
368,1935,VERMONT,7.6333333
369,1935,VIRGINIA,13.9875
"Showing 1 to 41 of 3,333 entries, 3 total columns",,,
