,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,GEOGID,MALE2011,FEMALE2011,TOTAL2011,PPOCC2011,UNOCC2011,VACANT2011,HS2011,PCVAC20111,LAND_AREA,TOTAL_AREA,CREATEDATE,geometry
1,IE0,Ireland,IE02,Southern and Eastern,IE023,Mid-West,20,Limerick City,C20,27947,29159,57106,22589,4092,3273,26681,12.3,28.39559,30.77455,27-03-2012,MULTIPOLYGON (((155832.2 16...
,,,,,,,,,,,,,,,,,,,,,
2,IE0,Ireland,IE02,Southern and Eastern,IE023,Mid-West,21,Limerick County,C21,67868,66835,134703,47555,7920,6841,55475,12.3,2654.65653,2725.34665,27-03-2012,MULTIPOLYGON (((167907.5 16...
,,,,,,,,,,,,,,,,,,,,,
3,IE0,Ireland,IE02,Southern and Eastern,IE023,Mid-West,22,North Tipperary,C22,35340,34982,70322,25720,5070,4527,30790,14.7,1992.19506,2046.39394,27-03-2012,MULTIPOLYGON (((195253.8 21...
,,,,,,,,,,,,,,,,,,,,,
4,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),23,South Tipperary,C23,44244,44188,88432,32770,5414,4817,38184,12.6,2255.69472,2258.87052,27-03-2012,MULTIPOLYGON (((225302.2 16...
,,,,,,,,,,,,,,,,,,,,,
5,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),24,Waterford City,C24,22921,23811,46732,18344,3997,3300,22341,14.8,38.34589,41.63989,27-03-2012,MULTIPOLYGON (((260669 1131...
,,,,,,,,,,,,,,,,,,,,,
6,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),25,Waterford County,C25,33543,33520,67063,24174,5849,5297,30023,17.6,1797.20771,1816.92494,27-03-2012,MULTIPOLYGON (((226795.5 90...
,,,,,,,,,,,,,,,,,,,,,
7,IE0,Ireland,IE01,"Border,Midland and Western",IE013,West,26,Galway City,C26,36514,39015,75529,28248,5407,3755,33655,11.2,49.99756,50.71686,27-03-2012,MULTIPOLYGON (((129166 2303...
,,,,,,,,,,,,,,,,,,,,,
8,IE0,Ireland,IE01,"Border,Midland and Western",IE013,West,27,Galway County,C27,88244,86880,175124,61026,16496,15066,77522,19.4,5796.09647,6100.72498,27-03-2012,MULTIPOLYGON (((48596.74 26...
,,,,,,,,,,,,,,,,,,,,,
9,IE0,Ireland,IE01,"Border,Midland and Western",IE011,Border,28,Leitrim County,C28,16144,15654,31798,12331,5797,5526,18128,30.5,1502.51272,1588.71083,27-03-2012,MULTIPOLYGON (((179797 3584...
,,,,,,,,,,,,,,,,,,,,,
10,IE0,Ireland,IE01,"Border,Midland and Western",IE013,West,29,Mayo County,C29,65420,65218,130638,48304,17488,16230,65792,24.7,5350.62002,5589.44371,27-03-2012,MULTIPOLYGON (((71257.65 31...
,,,,,,,,,,,,,,,,,,,,,
