id,year,mean
1,1/1/90,11844.04753
2,1/1/91,11987.95079
3,1/1/92,11878.69369
4,1/1/93,12024.44392
5,1/1/94,12137.45596
6,1/1/95,11982.04582
7,1/1/96,12536.36264
8,1/1/97,13204.47151
9,1/1/98,13884.84167
10,1/1/99,14550.21766
11,1/1/00,15543.16254
12,1/1/01,16298.33678
13,1/1/02,17098.59292
14,1/1/03,17723.44354
15,1/1/04,18950.63252
16,1/1/05,20085.69396
17,1/1/06,22218.79757
18,1/1/07,23927.14861
19,1/1/08,25327.68096
20,1/1/09,24459.70565
21,1/1/10,25216.12478
22,1/1/11,26492.67159
23,1/1/12,27127.68778
24,1/1/13,28055.36336
25,1/1/14,28665.53418
