id,iso2c,iso3c,country,year,gdp_percap,life_expect,population,birth_rate,neonat_mortal_rate,region,income
1,AL,ALB,Albania,1/1/04,5652.602673,75.83121951,3026939,13.036,9.8,Europe & Central Asia,Upper middle income
2,AL,ALB,Albania,1/1/02,4785.880981,75.15460976,3051010,14.642,10.7,Europe & Central Asia,Upper middle income
3,AL,ALB,Albania,1/1/94,2413.663204,72.04195122,3207536,21.854,12.9,Europe & Central Asia,Upper middle income
4,AL,ALB,Albania,1/1/09,9342.081246,76.84036585,2927519,11.679,7.9,Europe & Central Asia,Upper middle income
5,AL,ALB,Albania,1/1/03,5182.490367,75.52329268,3039616,13.806,10.3,Europe & Central Asia,Upper middle income
6,AL,ALB,Albania,1/1/99,3684.945153,73.79339024,3108778,17.302,11.7,Europe & Central Asia,Upper middle income
7,AL,ALB,Albania,1/1/95,2809.014908,72.23602439,3187784,20.98,12.7,Europe & Central Asia,Upper middle income
8,AL,ALB,Albania,1/1/08,8769.094336,76.65207317,2947314,11.561,8.2,Europe & Central Asia,Upper middle income
9,AL,ALB,Albania,1/1/01,4508.632006,74.73256098,3060173,15.513,11,Europe & Central Asia,Upper middle income
10,AL,ALB,Albania,1/1/05,6199.912727,76.08160976,3011487,12.383,9.4,Europe & Central Asia,Upper middle income
11,AL,ALB,Albania,1/1/92,1921.16342,71.90080488,3247039,23.464,13,Europe & Central Asia,Upper middle income
12,AL,ALB,Albania,1/1/97,2865.50751,72.89809756,3148281,19.15,12.3,Europe & Central Asia,Upper middle income
13,AL,ALB,Albania,1/1/07,7658.408578,76.47029268,2970017,11.631,8.5,Europe & Central Asia,Upper middle income
14,AL,ALB,Albania,1/1/13,10412.44172,77.64046341,2896652,13.106,6.8,Europe & Central Asia,Upper middle income
15,AL,ALB,Albania,1/1/14,11167.02257,77.83046341,2893654,13.414,6.5,Europe & Central Asia,Upper middle income
16,AL,ALB,Albania,1/1/91,2011.841715,71.91841463,3266790,24.173,13.2,Europe & Central Asia,Upper middle income
17,AL,ALB,Albania,1/1/11,9640.144593,77.24058537,2904780,12.325,7.2,Europe & Central Asia,Upper middle income
18,AL,ALB,Albania,1/1/06,7066.725645,76.28612195,2992547,11.906,8.9,Europe & Central Asia,Upper middle income
19,AL,ALB,Albania,1/1/90,2748.622728,71.95731707,3286542,24.789,13.4,Europe & Central Asia,Upper middle income
20,AL,ALB,Albania,1/1/00,4045.752069,74.27153659,3089027,16.401,11.3,Europe & Central Asia,Upper middle income
21,AL,ALB,Albania,1/1/93,2168.886231,71.93585366,3227287,22.686,12.9,Europe & Central Asia,Upper middle income
22,AL,ALB,Albania,1/1/10,9303.932476,77.03695122,2913021,11.952,7.5,Europe & Central Asia,Upper middle income
23,AL,ALB,Albania,1/1/12,10361.43322,77.44397561,2900247,12.73,7,Europe & Central Asia,Upper middle income
24,AL,ALB,Albania,1/1/98,3177.490786,73.32658537,3128530,18.22,11.9,Europe & Central Asia,Upper middle income
